,Review,Harga,Kemasan,Efektivitas,Aroma
25,"Ini enak banget sih gampang dipake tinggal semprot aja, ini penyelamat dikala males skincarean yg berlapis-lapis tinggal semprot aja menurutku ini lebih cepat meresap daripada aloevera gel tapi sayangnya kurang melembabkan di kulitku",0,0,1,0
26,Rutin banget aku pakai skin care garnie setiap harinha. Kalau ga pake bikin wajah keliagan lebih kusam. Cocok banget dehh pakai ini pokoknya. Dari awal emang coba produk ini dan cocok sampai saat ini. Tinggal disesuain dehh sama jenis kulit kalian girlss,0,0,1,0
27,Emang bikin lebih cerah si tapi lama lama bikin beruntusan makin banyak. Kurang cocok kalo diaku. Pas dipake kaya agak lengket gitu dan putih banget di kulit aku yang sawo matang. Mungkin kalo yg kulitnya lebih putih gk akan keputihan,0,0,-1,0
28,"Kulitku yang sensitif menolak untuk pakai ini :"") pas di pake ada rasa panas gitu di muka terus setelah didiamkan beberapa lama jadi oily banget sampe bikin aku jerawatan, jadi aku lebih memilih untuk stop penggunaannya sih :(",0,0,-1,0
29,ini produknya sangat sangat affordable dan gampang ditemuin. enak dipakenya bikin muka lembab sekaligus tone up juga. hasilnya ga begitu instant tapi yang penting telaten baru dehh keliatan hasilnya. baguss pokoknya!!!,1,0,1,0
30,gatau sih kenapa wajah aku susah banget cocok sama yang isi kandungannya ada vitamim C pake ini awalmya fine aja terus lama kelamaan malah muncul bruntusan tapi kadang kadang doang kan aku jadi bingung sebenarnya cocok apa gak 😩😩,0,0,-1,0
31,"awal pertama makai, beberapa hari gitu langsung kelihatan jadi glowing dan cerah bener2 sebagus itu dikulit aku dan cocok. wanginya juga enak banget. mungkin akan lebih bagus kalau dipakai serangkaian. paginya keliatan bgt deh hasilnya",0,0,1,1
32,"awalnya dikasi temen yg size kecil, agak maju mundur mau pake soalnya perna pas mau pake malah bruntusan akhirnya nyoba lg grgr mubazir, ngerasa muka agak lembab, trus wangi jg, lalu waktu pake ad bruntusan di jidat pada hilang"" make ini",0,0,1,1
33,"sejuk banget, bikin muka fresh dan glowing. cepet banget nyerepnya. dan bau nya fresh ga nyengat sama sekalii. ada kandungan vitamin c & natural moisturaizing faktor yg bikin wajah sehat dan membantu menjaga kelembaban dan elastisitas kulit🤩",0,0,1,1
34,"terlalu thick dan berminyak dikulitku. ada wanginya lagi, aku tidak suka yamg ada wangi-wangiannya. untuk efeknua belum keliatan karena udah keburu gasuka sama tekstur dan wanginya. tapi kalo kulit kering mungkin akan suka karena cukup melembabkan",0,0,-1,-1
35,"pertama kali nyoba agak degdegan krn takut ga cucok tapi trnyata product ini ngaruh banget di aku. kulit berangsur cerah, dan bersih.. teksturnya ringan dan ga trlalu wangi jadi suka.. awal di aplikasikan agak oily, tp lama2 akan meresap...",0,0,1,1
36,"Beli ini krn waktu itu lagi promo. Pas nyobain awalnya biasa aja, tapi setelah penggunaan yg rajin gue merasakan kulit gue glowing dan kenyal banget!! Asli kulit berasa kenyal dan sehat banget setiap bangun pagi selama penggunaan produk ini!!!",0,0,1,0
37,"beli ini krn tertarik sm efeknya vanishpro nya buat ngehilangin bekas jerewi, tp dia teksturnya thick agak greasy sih tapi gapapa harus nunggu gitu bikin glowing juga, di aku sih cocok aja bikin cerahan, tp kalo untuk kulit berminyak aku ga saranin deh",0,0,1,0
38,"seger dan cukup ngelembab in di kulit aku, dipake nya setiap kali ngerasa kulit aku kering, cara pake nya gampangg cuma tinggal di spray gituu ke muka terus gaada baunya, ini udah repuschase ke 2 kali nyaa!",0,1,1,1
39,"bagus buat yang lagi cari face mist, cukup ngelembabin jg tapi kalo di pake sebagai pengganti mosturizer di aku masi kurang ngelembabin. enak bgt buat di spray kalo lagi panas tp botolnya gede jd ga travel friendly aja gt. So far so good lah!!!",0,-1,1,0
40,SUPERRRRRRR SUKAAAAAA DENGAN PRODUCT INII!!! rasanya tuh seger pas disemprot dan buat wajah jadi kenyal gitu..... kadang aku pake juga setelah makeup..... dan udah pake setahun masih awet pdahal dipake setiap harii!!! worth it to buyyyy,0,0,1,0
41,"Aku pernah cobain beberapa kali punya temenku, tapi rasanya di aku kaya air cair biasa aja gitu gak ada efek apa apa. segernya juga cuma pas di spray saat itu aja udah terus ilang. Gak kerasa efek bikin seger yang tahan lamanya dan gak ngelembabin juga.",0,0,0,0
42,"produk ini bagus buat dijadiin facemist ataupun mosturizer, soalnya dia melembabkan trus juga multifungsi, bener-bener ringan pas dipake. Aku ngerasanya kulit aku jadi bener-bener terhidrasi sih, ohh iya inu juga bisa dipake buat lutut atau sikut yang kering",0,0,1,0
43,"Untuk kulit kering kayak aku sih cocok banget pake ini dan pas dipake ga terlalu greasy gt. Efek melembabkannya pas bgt, jadi abis pake night cream ini, keesokan paginya aku ngerasa kulitku langsung kenyel2 gitu.",0,0,1,0
44,cocok dipasangkan dengan day creamnya. Penggunaan pertama kali sampek hari ini itu aku ngerasa produk ini enak kali buat ngelembabkan muka. Pas pagi-pagi itu ngerasa muka lembab dan lembut. teksturnya creamy dan harum buat tenang gitu,0,0,1,0
45,Yashhh dulu aku sering banget pake ini tiap malem sebelum tidur . Dan hasilnya kulit aku jadi kenyal pagi nya dan lebih nernutrisi aja hehe . Teksturnya kayak lendiri warna putih. Lebih menghidrasi buat kulit kita dan itu salah satu fav aku di TBS,0,0,1,0
46,"Ini night cream pertama aku dan ini itu bagus banget buat pipi aku yg lumayan kering, ngelembab in trus gk bikin beruntusan, btw aku make nya di daerah pipi aja, gk berani di t zone takut beruntusan hehe",0,0,1,0
47,pakai ini adalah rutinitas malam ku... lumayan bgt membantu melembabkan pas paginya... salah satu seneng beli ini juga karena tempatnya bisa di balikin.. kayaknya lumayan mencerahkan. termasuk produck favorit,0,0,1,0
48,Aku punya ini awalnya di kasih yang travel size trus tiap pake ini kulitku jadi lembab banget. Dan tekstur krimnya licin yg lembut gitu dan bau creamnya gak mengganggu. Tapi untuk packagingnya kurang menarik menurutku.,0,-1,1,1
49,"Walaupun kulit saya berminyak tapi cream ini cocok banget ..Wajah jadi halus, lembut dan lembab di pagi hari. Riasan jadi mudah nempel. Dan muka gak jadi kilang minyak kok dengan pakai ini. Dan yang day creamnya juga saya suka pakai bareng",0,0,1,0
50,"Dapetin product ini dari giveaway dannn sangat tak disangka rose water ini bagus banget jujurrrr😭❤️ pas lagi ada jerawat yang mau tumbuh aku kompres pake kapas dan rose waternya, bener bener besoknya langsung gajadi tumbuh dong jerawatnya😍 cinta bgt!",0,0,1,0
51,"salah satu lokal produk yang aku suka, harganya sangat terjangkau dengan kualitas yg oke banget. cepat meresap di kulit dan kerasa manfaatnya,selalu nunjukkin stepup di kulit aku,repeat purchased!! udh botol ke 3",1,0,1,0
52,"Pas lagi hype bgt rose water dan skincare serba oil akhirnya memutuskan beli ini yang paketan, wangi enak ga nganggu bgt, ngademin muka banget, pas buat dibawa kemana2 tp spraynya b aja kualitasnya jadi air yang keluar ga pas dimuka",0,1,1,1
53,"jadiiii aku sebenernya pakai yang punya sacre udah lamaaa, trus aku kesel sendiri soalnya sacre botolnya kecil dan dia cara pakainya harus dituang gt, jadinya aku mencari pengganti sacre dan ketemu haple, alhamdulillah si cocok",0,1,1,0
54,"It does feel good on my face, tapi setelah diliat ingredientsnya kacau banget ada alcohol denat dan fragrancenya juga kenceng banget kadang bikin enek, dan hasilny juga agak kurang ngaruh, kmrn sempet breakout jg grgr produk ini, ingredientsnya bener bener kacau",0,0,-1,-1
55,"Baru menggunakan satu minggu, di kulitku yang kombinasi cocok-cocok saja, bikin lembab. Teksturnya enak, mudah menyerap, hanya ketika dipakai seperti ada sensasi panas, perih lalu hilang dalam beberapa detik dan wanginya strong menurutku.",0,0,1,-1
56,"Dulu pernah nyobain ini, punya kakak tapi dia ngasih ke aku. Setelah semingguan pake ternyata ga cocok, lgsg bikin jerawat dan itu merah + sakit banget😭 sejak itu trauma pake produk apapun yg mengandung vit c karena aku kurang cocok sama kandungan ini",0,0,-1,0
57,nyolong ini dari adikku 😝. wanginya enak banget seger. setelah disemprot ke muka cepat menyerap. kulitku tipe normal. tapi dia ga yang bikin lembab banget yah. cukup menyegarkan karena wanginya juga segar,0,0,1,1
58,bagus banget. dulu pake cream dokter skrg udah enggak gara2 pake ini kulit gajadi purging dkk. ngelembabin buat kulit aku yg kering hehe bisa ngilangin jerawat juga di aku syukak pokoknya. udah hbs 4 jar yg kecil2 wkwk,0,0,1,0
59,"Pakek produk ini adem bange teksturnya kek air bkin muka kenyel gtu keesokan nya tapi gatau knp giliran ngaca muka jdi bruntusan gtu sepertinya gk cocok buat pakek, jd stop dan gk lanjutin lagi deh dripda breakout",0,0,-1,0
60,"maaf banget tapi ini ga cocok sama sekali di aku, langsung jerawatan pakai ini padahal baru satu kali pakai. padahal teksturnya enak, gel nya lembut agak watery sih tapi rich banget dan cepet nyerap. packaging nya juga bagus tapi ya ga cocok. so sadd",0,1,-1,0
61,"Facial mist ini seger banget. Sukses banget nyegerin wajah di saat kepanasan. Saya kurang suka dengan semprotannya, mirip-mirip dengan semprotan body mist, jadinya butirannya gede-gede dan semprotannya melebar kemana-mana",0,-1,1,0
62,"Face spray pertama aku. Aku dapet ini dari giveaway si wkwk Baunya enak banget, nyegerin. Kaya air, bening tapi wangi wkwkw Packagingnya juga lucu gemesh. Aku make ini kalo muka aku lelah, habis disemprot langsung seger lagi. Ini ngelembabin si",0,1,1,1
63,"Lumanyan enak wangi nya.. buat refreshing muka aku, enak juga ini.. size 60 ml bisa di bawa2 d tas. Aku pilih yg buat acne care face mist..Harga nya Murah bgt & packaging nya termasuk yg Bagus punya..",1,1,1,1
64,"penasaran sama face mist nya mineral botanica, kata temen ku bagus. dan yaaa emang bener face mist nya bagus banget. bikin muka aku fresh dan juga oke agar makeup tahan lama. untuk aroma nya sendiri aku suka banget, segerr",0,0,1,1
65,sesungguhnya produk ini bagus banget apalagi kalo muka kalian tuh suka merah merah atau tiba-tiba ngamuk gitu. pas pake ini muka auto tenang dan enakan. sayangnya harganya juga bagus. sekarang aku lagi nabung buat repurchase produk ini huf,1,0,1,0
66,"Face mistnya enak, berasa adem dan lembab di muka. Botolnya juga gemes banget sih, cuma spraynya agak gede jadi agak kaget pas pertama pakai. Tapi overall untuk lembabin kulitnya bagus, cukup puas sama produk ini",0,1,1,0
67,"Aku suka banget sama Hydraiting Mist karena dia ngebuat wajah aku jadi lembb dan glowing gitu, tapi sayangnya aku kurang suka sama semporatannya soalnya dia ngeluarin airnya kasar banget jadi pas disemprot bikin kaget gitu.",0,-1,1,0
68,"meskipun gak langsung keliatan efekya, ini beneran ngebantu ngurangin beruntusan dan bekas jerawat. Harganya lumayan sih tapi works. Ini juga efektif ngelembabin kulit kering bekas jerawat yg flaky gitu.",-1,0,1,0
69,"suka banget😙 sama face mist satu ini, karena harganya pas dikantong pelajar dan pada saat di reply itu menghidrasi kulit banget, kulit jadi lembab dan ngak nimbulin berminyak gitu 😊😊terluv luv luv ❤❤❤",1,0,1,0
70,"Gak recommended untuk anda yang mencari cream whitening, karna tidak menghasilkan efek apa2, hanya melembabkan kulit, nilainya dari 7/10 dari produk pelembab lainnya. Untuk harga? Bisa dibilang masih cukup murah sih untuk mahasiswa.",1,0,-1,0
71,"Teksturnya lebih ke gel berwarna putih, ringan seperti air dan tidak ada wanginya. Aku sukak ini karna teksturnya yang ringan dan lumayan mudah menyerap, hasilnya di aku tiap pemakaian kulit berasa lembab, kenyal dan sedikit lebih cerah",0,0,1,1
72,skin care yang wajib untuk umur mulai menjelang 30. awal pake sih aromanya mengganggu dan agak keras. tapi efeknya kulit lebih kenyal dan halus. dipakai rutin ngaruh juga sih. pas bangun tidur muka berasa seger aja.,0,0,1,-1
73,Product ini tuh keren banget! Aku pake sebagai setting spray habis make up dan setelah pake skincare pagi/siang. Alhasil makeup tahan lama + muka tetep lembab. Baunya wangi terus seger banget setelah dipakai. Gampang meresap ke muka juga.,0,0,1,1
74,"Aku suka banget oxigenated spray karena bikin kulitku awet muda, wajah lebih kenyal, cerah, dan well-hidrated. Sudah botol kelima, tetapi dibotol pertama sudah terasa manfaatnya. Can be improved : pegas spray nya keras banget dan harganya huhu muahal.",-1,0,1,0
75,"pernah pake oxigen Spray dari mustikaratu. kalo pake ini tuh make up jadi lebih awet banget. di paketnya juga seger banget. hasilnya juga jadi baguslah pokoknya,kalo dipake sehari-hari kayaknya gak berani coba soalnya di masa itu masih di anggap mahal,sich.",-1,0,1,0
76,"Hydrating mist toner sukin ini lumayan bagus, sedikit melembabkan. Untuk packagingnya juga kokoh, spray nya juga menyebar gitu jadi ga bikin boros pemakaian. Awal pake ngerasa ada efek cekit cekit gitu tapi lama lama udah ga. Overall, good!",0,1,1,0
77,"karena bahan2nya natural, jadi pas pake toner ini muka beneran aman banget! ini itungannya ampuh sih buat hydrating kulit kering, aromanya enak plus harganya murah, bikin fresh pas disemprot tapi ya ngga tahan lama juga efek freshnya. recommended!",1,0,1,1
78,"Sejauh ini pake produk ini enak aja,wanginya soft mawar gitu. Untuk yg ukuran kecil yg aku punya,spray nya kurang bagus karna nyemprot nya ga rata gitu,jadi ada beberapa bagian yg ga kena dan musti ngulang. Kalo ke arah mata pun agak lumayan pedih.",0,0,1,1
79,ngelembabin iya. bagus tuk pemula yg nyari night cream krn ngasi efek nyeragamin warna kulit. tp ya pagi setelah make ga ada efek bikin seger di kulit. harganya affordable. kl mau maksimal perlu pake series lengkapnya,1,0,1,0
80,"Krim malam wardah ini aromanya chemical banget, untuk harganya sih murah, coba beli ini karna berharap cocok, tapi kayaknya biasa aja ga ada efek mencerahkan di wajahku. yang paling bikin ilfeel aromanya seperti obar rebonding.",1,0,1,-1
81,"Pakai produk ini udah yang ke dua kali , cocok banget gak bikin jerawatan,ngebantu banget waktu aku lagi jerawatan parah dan wanginya enak banget aku suka & bangun pagi muka rasanya kenyal gitu.Harganya murah dan mudah di cari di mana-mana",1,0,1,0
82,falling in love at the first try sama produk ini. Pertama karena pacakagingnya yang super light dan handy jadi enak dibawa kemana pun. kedua spray nya dengan micro size technology jadi pas kena wajah enak banget dan ga merusak makeup kita🙂,0,1,1,0
83,"Facemist yg enak bgt dibawa kemanamana krn botolnya kecil, wktu di apply di muka juga enak bgt bikin lembab, ngebantu kulitku yg kering ini. Untuk beli lagi sepertinya iyaaa. Karna emang se enak ituuu",0,1,1,0
84,Aku sangat merekomendasikan produk ini khusus yg ounya kulit kering dan kusam. Ini worth tu buy karna dia ampuh bgt pas aku cobain. Sesuai dengan claim. Apalagi juga hrga nya terjangkau dan Packaging yg cantik dan bisa di bawa kemana2,1,1,1,0
85,"Awalnya iseng beli yg 50ml buat nyoba dulu, eh malah jatuh cinta pas dipake 😍 spraynya nyebar banget (mungkin karna produk aerosol) dan lembab di kulitku yg kering. Harganya juga affordable dan sering discount 👌",1,0,1,0
86,"So far suka sih sm produk ini. Teksturnya mirip sama safi dermasafe yg night moisturizer, lembut bangettt! Melembabkan banget, muka jd lebi alus, dan agak ngaruh ke bekas jerawat juga. Ga expect bakal bagus sih karna harganya murah bgt😭 bakal repurchase pastinya!",1,0,1,0
87,"ini kayak model setting spray sih. aku coba yang travel sizenya gitu dapat pas beli skin carenya.. Hasilnya seger, dan ada wangi-wangi gitu. aku lebih pakai ini pas aftwr makeupan sih. biar finishing makeupnya tahan lama juga..",0,1,1,1
88,"Sukak banget dengan kemampuan melembabkannya. Gak bikin wajah berminyak, tapi juga gak kering. Selama memakai produk ini, Wajahku jadi kenyal, lembut, cerah, gak bruntusan dan gak menggelapkan. Kekurangannya cuma satu : harganya yang mahal menguras kantong.",-1,0,1,0
89,"SUKAA BANGET, enak dan easy to bring with, bikin muka lembut dan empuk, di muka aku cocok banget dan ada wangi mawarnya jadi enak ga bakal keganggu selama pemakaian, bakal repurchase lagi kalo ga ketemu merk lain yang lebih cocok",0,1,1,1
90,"Facial Spray ini saya pakai pada malam hari setelah selesai skincare ya .. ya menurut aku ga tahu apa ada efek apa gak ya .. biasa2 aja si .. jd mungkin klo nanti sudah habis tdk beli lagi .. oh ya , ini di muka ku agak lengket sedikit ya ,, jd saya kurang suka :)",0,0,-1,0
91,Awalnya expectasi gw ga tinggi2 amat sih krn bbrp review org2 yg kulitnya acne prone pada ga cocok pake rangkaian ginseng ini. Ternyata d gw cream ini kerjanya bagus banget. Bikin jerawat cepet reda n menghidrasi kulit dgn sangat baik.,0,0,1,0
92,"bagus banget bikin ngelembapin muka, dia baunya sedikit aneh tp ga terlalu bau, kulit aku yang super sensitiv tiap coba produk baru gampang bo pake ini ngga sama sekali, dan ngelembapin nya pake glowing juga gitulo kulit sehat banget love it",0,0,1,-1
93,"toner ini enak bgt untuk pake nya, praktis tinggal semprot2 diwajah, tp ini agak perih kl ke mata, cukup melembabkan di kulitku yg kering ini, dan kalo disemprotkan ke wajah jd rata, butiran sprynya halus",0,0,1,0
94,"Setelah lepas dr krim2 dokter coba pake night cream dr l’oreal ini tp sm skali gak ada efek apa2 sih, gak ngilangin bintik hitam diwajah dan jg gak bikin wajah jd cerah. Jadi gak bakalan repurchase sih krn hrgnya jg agak mahal",-1,0,-1,0
95,"Udah habis 2 botol loh Produk ini uniknya bukan cuman buat di wajah tapi bisa buat body, baby n hair juga. Suka ini karna bisa buat cooling n calm your face, jdi selalu aku tarok di meja kerja. Dan.juga bisa bantu kontrol oily face lo",0,0,1,0
96,"buat yang wajahnya suka kering dan suka traveling wajib nih pakai face spray Bio Essence. tinggal semprot dan wajah jadi lembab, bisa juga di semprot ke kulit dan rambut kalau terasa kering agar lembab dan kulit tidak dehidrasi",0,1,1,0
97,"face mist pertamaku. awal awal make bikin muka glowing. komedo pada keluar dan jerawat jadi lebih kalem dan cepet kering, dan agak melembabkan juga. tapi makin kesini efeknya biasa aja. setelah ngabisin ini aku mau coba evian dulu abis itu baru nyobain avene hehe.",0,0,0,0
98,"setelah gw coba sendiri, ini produk gak bikin mukak gw kaget (dalam arti bruntusan, gatal, jerawatan, kemerahan gitu) ponds ini kan juga mencegah penuan dini, jadi boleh dech kalian cba dan rasakan dalam waktu 2 bulanan",0,0,-1,0
99,"love hate sama produk ini, enaknya dia untuk pemula cocok karena ringan dan murah serta gampang didapet apalagi ada size kecil jadi enak kalau misal mau coba2 minus nya gatau kenapa jadi purging terus dan lama 😓 mungkin.bakal coba yang whip 👌",1,1,1,0
100,"akuu sukaaa wanginyaa, udh botol ketiga kayaknya. pas botol pertama ngerasa b ajasih, tapi pas udah habis dan kelupaan beli lagi baru kerasaaaa deh kalau muka ga selembab dan paginya ga seglowing pas pake itu, jadinya lanzutt pake terusss",0,0,1,1
101,Baru seminggu pake night & day creamnya + FW.. Hasilnya udh kerasa banget. Wajah jd lebih kenyal & kencang. Pdahal pertamanya takut mw pake krim ini karna dari dlu gak cocok ama produk ponds. Tapi untuk ponds Age miracle wrinkle corrector ini ternyata cocok bangett..,0,0,1,0
102,"Teksturnya kental, wanginya ga begitu mengganggu. Setelah diaplikasikan lama meresapnya di aku dan jadi berminyak muluk dimuka. klo efek mencerahkannya sii ada tapi kayaknya perlu telaten dan rajin pake. repurchase no karena ga nyaman lengket²nya.",0,0,-1,1
103,"Agak nyesel dulu beli ini krn harganya mehong sisttt dan bikin wajah jdi matte yg kering gituu. Dan aku pikir setelah diapply bisa bikin makeup tahan lama, ternyata malah makeup aku jd agak susah di blend dan throughout the day still oily(':",-1,0,-1,0
104,"My holy grail spray!!! Di pake stelah cuci muka dan kalo lg ad jrwat berasanya cikit2 gt. Besokannya jrwat kering. Kadang males pke skincare malem abis pke ini lgsg tidur. Sayangnya ak g bs pke ini am pm slma bbrpa hr, psti bkin kering jd hrus pake moisturizer",0,0,-1,0
105,"Baru aj make ga ada 1 jam, muka langsung berasa panas, gatel2. Pagi nya lgsung muncul jerawat n bruntusan parah. Cream nya lengket banget, ga meresap dikulit. Iseng2 beli lu kira bakal cocok, nyatanya ga samasekali.",0,0,-1,0
106,knp ya akutuh ga cocok sm safi:((( produk ini aku ga sadar sih bikin muka gatel2 stlh 1/4 pake baru nyadar kalau ga cocok dan langsung stop. produk ini tuh baunya lumayan ganggu sih terus packagingnya kaca jd kurang suka,0,-1,-1,-1
107,"nyoba ini karena banyak yg bilang bisa buat mudarin bekas jerawat tp blm keliatan si cuma dia bagus bgt bikin muka jadi keliatan cerah+lembab sekali pakai keliatan bgt glowing nya, face mist botanica bisa di pakai sebelum dan sesudah make up ya!",0,0,1,0
108,Face mist pertama akoh nih guys. Cucok buat kulit yang berminyak kalo abis cuci muka terus pake face mist ini muka jadi tambah seger banget cyin asli. Dan yang paling kusuka juga wanginya itu loh seger banget. By the way ga lengket sama sekali di muka,0,0,1,1
109,"bikinn aku breakout... punya satu dan gak dihabisin.. di anggurin aja smpai sekarang.. padahal aku waktu itu pakai paketan acnecare nya dari mica, tapi ternyata gak cocok sama sekali, tapi sebenernya face mist ini enak dipake.. cuma gal jodoh aja",0,0,-1,0
110,"aku udh lama pake ini sekitar setahun dn cocok2 aja, malah buat kulit jdi nggk terlalu berminyak kyk biasanya. aku pake ini tiap mau pergi dan wangi juga waktu udh disemprot ke wajah. recommended deh.",0,0,1,0
111,beli ini waktu dulu belum ngerti banget face mist buat apa. di mukaku bikin bruntusan lumayan banyak dan fragrancenya terlalu strong. refreshing as what face mist do but nothing special. repurchase? no,0,0,-1,0
112,Pakai produk ini karena pengen coba varian pond's lainnya aja. Menurut aku sama aja sih kayak pond's yang age miracle so so aja di wajah aku gak ada istimewa tapi gak juga buruk yang buat breakout gitu.,0,0,0,0
113,"dulu pakek gara2 disuruh mama, katanya bagus, ternyata beneran bagus tapi kerasanya berat, jadi pakeknya mesti tipis2 aja biar ndak ninggalin noda putih gitu, meresepnya juga rada lama menurut aku, tapi untuk hasil tidak mengecewakan",0,0,1,0
